bed_id,room_id,bed_letter,is_available,is_assigned,assigned_patient_id,assigned_nurse_id
1,1,A,True,False,,
2,1,B,True,False,,
3,1,C,True,False,,
4,2,A,True,False,,
5,2,B,True,False,,
6,2,C,True,False,,
7,3,A,True,False,,
8,4,A,True,False,,
9,4,B,True,False,,
10,4,C,True,False,,
11,5,A,True,False,,
12,5,B,True,False,,
13,5,C,True,False,,
14,5,D,True,False,,
15,6,A,True,False,,
16,6,B,True,False,,
17,7,A,True,False,,
18,7,B,True,False,,
19,7,C,True,False,,
20,8,A,True,False,,
21,8,B,True,False,,
22,8,C,True,False,,
23,9,A,True,False,,
24,9,B,True,False,,
25,10,A,True,False,,
26,10,B,True,False,,
27,10,C,True,False,,
28,10,D,True,False,,
29,11,A,True,False,,
30,11,B,True,False,,
31,11,C,True,False,,
32,12,A,True,False,,
33,13,A,True,False,,
34,13,B,False,True,32,1
35,13,C,True,False,,
36,14,A,False,True,35,1
37,14,B,True,False,,
38,14,C,True,False,,
39,15,A,True,False,,
40,15,B,True,False,,
41,16,A,True,False,,
